2020-03-14 11:34:00,276 - DEBUG    - server - Пользователь Petr запросил список зарегистрированных пользователей.
2020-03-14 11:34:00,277 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:34:00,277 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65315)>, {'response': 202, 'data': ['test_user_1', 'test_user_2', 'test_user_3', 'lola', 'test_1', 'test_2', 'test_3', 'test_4', 'test_5', 'Petr', 'Peter', 'Ivan', 'Vasya', 'Ignat']}), {})
2020-03-14 11:34:00,780 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:34:00,781 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65315)>,), {})
2020-03-14 11:34:00,781 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'get_contacts', 'time': 1584174835.661918, 'user': 'Petr'}
2020-03-14 11:34:00,784 - DEBUG    - server - Пользователь Petr запросил список контактов.
2020-03-14 11:34:00,785 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:34:00,786 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=17, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65315)>, {'response': 202, 'data': ['test_user_1', 'test_5', 'lola', 'test_3', 'Vasya', 'test_user_3']}), {})
2020-03-14 11:34:22,159 - INFO     - server - Установлено соединение с клиентом ('127.0.0.1', 65319)
2020-03-14 11:34:22,160 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
2020-03-14 11:34:22,160 - INFO     - decorators - Функция "get_message" из модуля "srv_function" с аргументами ((<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65319)>,), {})
2020-03-14 11:34:22,160 - DEBUG    - server - Обработка сообщения от клиента - {'action': 'presence', 'time': 1584174861.689342, 'user': 'test_user_1'}
2020-03-14 11:34:22,161 - INFO     - decorators - Выполнен вызов функции "send_message" из функции "processing_message"
2020-03-14 11:34:22,161 - INFO     - decorators - Функция "send_message" из модуля "srv_function" с аргументами ((<socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65319)>, {'response': 200}), {})
2020-03-14 11:34:22,162 - INFO     - server - Клиент ('127.0.0.1', 65319) подключился. Отправлен ответ {'response': 200}
2020-03-14 11:34:22,673 - INFO     - decorators - Выполнен вызов функции "get_message" из функции "run"
